[2015-03-06 21:50:39] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 21:50:46] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 21:50:49] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 21:50:54] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-06 21:51:23] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-07 01:14:30] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-07 01:51:52] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-07 01:52:07] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-07 01:52:09] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-07 01:52:40] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-07 01:53:01] EDIT perceptioncheck/controllers/games.py: -1
[2015-03-07 01:54:08] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-07 01:56:17] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-07 04:10:02] EDIT perceptioncheck/controllers/games.py: 1
[2015-03-07 04:10:04] EDIT perceptioncheck/controllers/games.py: -1
[2015-03-07 15:00:22] EDIT perceptioncheck/models/db.py: 5
[2015-03-07 15:00:54] EDIT perceptioncheck/models/db.py: 0
[2015-03-07 15:01:00] EDIT perceptioncheck/models/db.py: 0
[2015-03-09 05:28:01] EDIT perceptioncheck/models/tables.py: 5
[2015-03-09 05:29:56] EDIT perceptioncheck/models/tables.py: 3
[2015-03-09 05:33:52] EDIT perceptioncheck/models/tables.py: 0
[2015-03-09 05:34:35] EDIT perceptioncheck/models/db.py: -1
[2015-03-09 05:35:30] EDIT perceptioncheck/models/tables.py: -5
[2015-03-09 05:38:17] EDIT perceptioncheck/models/tables.py: 0
[2015-03-09 05:39:29] EDIT perceptioncheck/models/tables.py: -3
[2015-03-09 05:39:32] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-09 05:39:38] EDIT perceptioncheck/models/db.py: 0
[2015-03-09 06:24:51] EDIT perceptioncheck/models/db.py: 0
[2015-03-09 06:25:04] EDIT perceptioncheck/models/db.py: 0
[2015-03-09 06:54:35] EDIT perceptioncheck/models/tables.py: 3
[2015-03-09 06:54:46] EDIT perceptioncheck/models/tables.py: 0
[2015-03-09 07:02:43] EDIT perceptioncheck/models/tables.py: 0
[2015-03-09 07:09:58] EDIT perceptioncheck/models/tables.py: 0
[2015-03-09 07:11:11] EDIT perceptioncheck/models/tables.py: 0
[2015-03-09 07:43:16] EDIT perceptioncheck/models/tables.py: 0
[2015-03-09 07:45:52] EDIT perceptioncheck/models/tables.py: 0
[2015-03-09 07:46:05] EDIT perceptioncheck/models/tables.py: 0
[2015-03-09 07:46:52] EDIT perceptioncheck/models/tables.py: 1
[2015-03-09 07:46:59] EDIT perceptioncheck/models/tables.py: 0
[2015-03-09 07:47:19] EDIT perceptioncheck/models/tables.py: 0
[2015-03-09 07:47:45] EDIT perceptioncheck/models/tables.py: 0
[2015-03-09 07:48:23] EDIT perceptioncheck/models/tables.py: 0
[2015-03-09 07:50:32] EDIT perceptioncheck/models/tables.py: 0
[2015-03-09 07:52:12] EDIT perceptioncheck/models/tables.py: 0
[2015-03-09 07:52:24] EDIT perceptioncheck/models/tables.py: 0
[2015-03-09 07:52:35] EDIT perceptioncheck/models/tables.py: 0
[2015-03-09 08:11:20] EDIT perceptioncheck/controllers/games.py: 1
[2015-03-09 08:13:20] EDIT perceptioncheck/controllers/games.py: 1
[2015-03-09 08:14:34] EDIT perceptioncheck/controllers/games.py: -1
[2015-03-09 08:14:55] EDIT perceptioncheck/controllers/games.py: 1
[2015-03-09 08:18:40] EDIT perceptioncheck/controllers/games.py: -1
[2015-03-09 08:18:59] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-09 08:20:51] EDIT perceptioncheck/models/db.py: 0
[2015-03-09 08:20:54] EDIT perceptioncheck/models/tables.py: 0
[2015-03-09 08:23:58] EDIT perceptioncheck/controllers/games.py: -1
[2015-03-09 08:33:30] EDIT perceptioncheck/controllers/games.py: 1
[2015-03-09 08:34:50] EDIT perceptioncheck/controllers/games.py: 1
[2015-03-09 08:35:12] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-09 08:35:28] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-09 08:35:42] EDIT perceptioncheck/controllers/games.py: 0
[2015-03-09 08:37:49] EDIT perceptioncheck/models/tables.py: 0
[2015-03-09 08:37:56] EDIT perceptioncheck/controllers/games.py: -2
[2015-03-09 08:41:31] EDIT perceptioncheck/models/tables.py: 0
[2015-03-09 08:41:33] EDIT perceptioncheck/models/tables.py: 0
[2015-03-09 08:41:44] EDIT perceptioncheck/models/tables.py: 0
[2015-03-09 08:43:43] EDIT perceptioncheck/models/tables.py: 1
